date,climate,max_temp,min_temp,site,wind
20120115,9,25,16,青岛,3
20120115,10,27,18,淄博,1
20120115,9,28,18,泰安,1
20120115,9,22,15,威海,1
20120115,11,23,17,烟台,1
20120115,9,28,17,德州,0
20120115,9,22,18,日照,1
20120115,9,28,21,济宁,1
20120115,10,27,16,潍坊,1
20120115,10,27,15,滨州,1
20120115,9,30,21,枣庄,1
20120115,10,27,17,东营,1
20120214,9,30,21,枣庄,1
20120218,9,22,15,威海,1
20120401,10,8,18,日照,4
20120401,10,8,24,东营,4
20120401,10,8,24,滨州,4
20120401,9,8,23,淄博,4
20120401,8,6,18,威海,5
20120401,10,8,24,济南,4
20120401,9,9,17,烟台,4
20120401,10,9,24,德州,4
20120401,9,7,24,泰安,4
20120401,8,10,15,青岛,4
20120401,9,9,21,潍坊,4
20120401,10,8,23,济宁,3
20120401,8,9,21,枣庄,4
20120402,8,8,22,枣庄,4
20120402,8,6,18,威海,5
20120402,8,9,16,青岛,4
20120402,9,9,22,淄博,4
20120402,10,10,16,日照,4
20120402,10,10,21,济宁,3
20120402,9,10,16,烟台,4
20120402,10,10,23,德州,4
20120402,9,10,21,泰安,4
20120402,9,10,20,潍坊,4
20120402,10,8,24,济南,4
20120402,10,7,25,滨州,4
20120402,10,8,24,东营,4
20120403,10,10,22,东营,4
20120403,8,10,20,枣庄,4
20120403,10,11,15,日照,4
20120403,9,7,23,潍坊,4
20120403,9,7,24,泰安,4
20120403,9,8,23,淄博,4
20120403,8,8,17,青岛,4
20120403,10,7,25,济南,4
20120403,10,10,21,济宁,3
20120403,10,10,23,德州,4
20120403,8,6,18,威海,5
20120403,10,9,23,滨州,4
20120403,9,7,19,烟台,4
20120404,9,8,22,潍坊,4
20120404,10,7,25,济南,4
20120404,10,11,20,济宁,3
20120404,10,8,25,德州,4
20120404,10,9,17,日照,4
20120404,9,8,18,烟台,4
20120404,10,10,22,滨州,4
20120404,10,10,22,东营,4
20120404,8,6,18,威海,5
20120404,8,11,19,枣庄,4
20120404,9,9,22,泰安,4
20120404,9,9,22,淄博,4
20120404,8,9,16,青岛,4
20120405,10,10,22,东营,4
20120405,10,8,23,济宁,3
20120405,9,10,21,淄博,4
20120405,9,7,24,泰安,4
20120405,8,8,22,枣庄,4
20120405,8,9,16,青岛,4
20120405,8,8,16,威海,5
20120405,10,8,24,济南,4
20120405,9,10,20,潍坊,4
20120405,10,9,17,日照,4
20120405,10,9,24,德州,4
20120405,9,10,16,烟台,4
20120405,10,9,23,滨州,4
20120406,8,8,16,威海,5
20120406,9,8,23,淄博,4
20120406,10,11,22,德州,4
20120406,8,8,17,青岛,4
20120406,9,7,19,烟台,4
20120406,8,10,20,枣庄,4
20120406,10,8,24,东营,4
20120406,10,10,16,日照,4
20120406,10,8,24,济南,4
20120406,9,10,20,潍坊,4
20120406,9,7,24,泰安,4
20120406,10,8,23,济宁,3
20120406,10,7,25,滨州,4
20120407,9,9,17,烟台,4
20120407,10,8,24,滨州,4
20120407,9,10,21,泰安,4
20120407,9,8,23,淄博,4
20120407,8,8,17,青岛,4
20120407,8,10,20,枣庄,4
20120407,10,11,21,东营,4
20120407,10,11,15,日照,4
20120407,9,10,20,潍坊,4
20120407,8,8,16,威海,5
20120407,10,9,22,济宁,3
20120407,10,9,24,德州,4
20120407,10,8,24,济南,4
20120408,9,10,16,烟台,4
20120408,10,9,23,东营,4
20120408,8,10,15,青岛,4
20120408,10,10,16,日照,4
20120408,8,9,15,威海,5
20120408,10,8,24,滨州,4
20120408,9,9,21,潍坊,4
20120408,8,11,19,枣庄,4
20120408,10,8,25,德州,4
20120408,10,8,23,济宁,3
20120408,9,8,23,淄博,4
20120408,10,9,23,济南,4
20120408,9,7,24,泰安,4
20120409,9,10,21,泰安,4
20120409,9,8,22,潍坊,4
20120409,8,10,15,青岛,4
20120409,10,11,20,济宁,3
20120409,9,8,23,淄博,4
20120409,9,7,19,烟台,4
20120409,10,10,16,日照,4
20120409,10,10,22,东营,4
20120409,8,6,18,威海,5
20120409,10,9,23,滨州,4
20120409,8,10,20,枣庄,4
20120409,10,8,25,德州,4
20120409,10,10,22,济南,4
20120410,9,10,21,泰安,4
20120410,8,9,21,枣庄,4
20120410,8,10,15,青岛,4
20120410,10,8,18,日照,4
20120410,10,9,23,东营,4
20120410,9,10,21,淄博,4
20120410,10,11,22,德州,4
20120410,9,7,23,潍坊,4
20120410,10,8,24,济南,4
20120410,10,8,23,济宁,3
20120410,10,7,25,滨州,4
20120410,8,6,18,威海,5
20120410,9,8,18,烟台,4
20120411,10,10,22,济南,4
20120411,10,10,22,东营,4
20120411,10,10,22,滨州,4
20120411,8,10,20,枣庄,4
20120411,9,9,21,潍坊,4
20120411,8,9,16,青岛,4
20120411,9,7,19,烟台,4
20120411,8,8,16,威海,5
20120411,9,9,22,泰安,4
20120411,10,10,21,济宁,3
20120411,9,8,23,淄博,4
20120411,10,11,15,日照,4
20120411,10,8,25,德州,4
20120412,8,8,17,青岛,4
20120412,10,9,22,济宁,3
20120412,10,8,24,滨州,4
20120412,8,7,17,威海,5
20120412,10,9,23,东营,4
20120412,9,8,23,淄博,4
20120412,10,9,24,德州,4
20120412,10,8,24,济南,4
20120412,9,8,22,潍坊,4
20120412,9,8,18,烟台,4
20120412,8,9,21,枣庄,4
20120412,10,9,17,日照,4
20120412,9,8,23,泰安,4
20120413,11,24,12,德州,4
20120413,11,24,10,滨州,4
20120413,11,24,14,济南,4
20120413,9,21,11,潍坊,0
20120413,10,23,12,济宁,0
20120413,10,18,9,烟台,4
20120413,10,16,10,日照,4
20120413,9,17,9,威海,5
20120413,10,23,11,泰安,4
20120413,11,23,12,淄博,4
20120413,10,22,10,枣庄,0
20120413,11,12,9,青岛,4
20120413,11,23,12,东营,4
20120414,10,9,15,日照,4
20120414,10,18,26,济南,4
20120414,11,26,15,东营,4
20120414,11,26,15,济宁,4
20120414,10,27,15,淄博,4
20120414,11,22,9,烟台,5
20120414,11,26,12,潍坊,4
20120414,11,26,13,泰安,4
20120414,11,7,10,青岛,5
20120414,10,21,9,威海,6
20120414,10,27,13,滨州,5
20120414,10,23,12,枣庄,4
20120414,11,28,16,德州,4
20120415,11,8,19,潍坊,5
20120415,10,11,22,济宁,4
20120415,10,10,21,济南,4
20120415,10,9,20,德州,4
20120415,9,7,14,烟台,5
20120415,10,8,18,东营,4
20120415,10,9,17,日照,5
20120415,10,11,20,泰安,4
20120415,10,7,17,滨州,4
20120415,10,9,20,淄博,4
20120415,9,7,15,威海,6
20120415,10,12,21,枣庄,0
20120415,10,9,17,青岛,5
20120416,11,8,25,东营,4
20120416,10,9,22,枣庄,4
20120416,10,10,25,德州,4
20120416,10,8,16,日照,4
20120416,11,8,17,青岛,4
20120416,10,8,25,泰安,4
20120416,11,9,25,淄博,4
20120416,11,6,18,威海,5
20120416,10,10,24,济宁,4
20120416,11,7,26,滨州,4
20120416,10,8,24,潍坊,4
20120416,11,6,18,烟台,6
20120416,11,12,25,济南,5
20120417,10,9,20,威海,5
20120417,10,9,12,青岛,5
20120417,10,8,22,烟台,6
20120417,10,13,26,淄博,4
20120417,10,17,26,济南,5
20120417,10,13,24,东营,4
20120417,9,12,23,德州,4
20120417,10,8,14,日照,4
20120417,10,12,24,泰安,4
20120417,10,10,22,枣庄,4
20120417,10,11,25,滨州,4
20120417,10,10,21,潍坊,5
20120417,10,14,24,济宁,4
20120418,10,21,8,潍坊,4
20120418,10,24,14,德州,4
20120418,10,24,13,泰安,4
20120418,10,17,25,济南,4
20120418,9,25,12,滨州,4
20120418,10,21,10,烟台,5
20120418,10,25,13,东营,4
20120418,9,20,8,威海,5
20120418,10,14,8,日照,4
20120418,10,13,9,青岛,5
20120418,9,22,12,枣庄,4
20120418,10,14,24,济宁,0
20120418,10,26,15,淄博,4
20120419,9,11,21,济宁,4
20120419,9,10,21,潍坊,4
20120419,9,11,17,威海,4
20120419,9,10,17,烟台,6
20120419,9,12,23,泰安,4
20120419,10,9,14,日照,4
20120419,8,15,23,淄博,4
20120419,10,14,21,德州,4
20120419,8,15,22,济南,4
20120419,8,13,23,枣庄,4
20120419,8,12,23,东营,4
20120419,9,10,13,青岛,5
20120419,10,13,23,滨州,0
20120420,9,12,19,济南,4
20120420,9,11,17,淄博,4
20120420,7,14,10,日照,5
20120420,8,11,17,东营,5
20120420,9,12,20,泰安,4
20120420,7,9,13,青岛,6
20120420,7,8,13,烟台,7
20120420,7,8,13,威海,6
20120420,9,12,22,济宁,4
20120420,8,12,19,枣庄,4
20120420,9,10,17,滨州,4
20120420,8,10,14,潍坊,5
20120420,8,12,20,德州,4
20120421,11,13,26,济宁,4
20120421,11,8,26,东营,4
20120421,10,8,26,潍坊,4
20120421,8,6,19,烟台,5
20120421,9,10,25,泰安,4
20120421,10,11,27,济南,3
20120421,10,11,27,淄博,4
20120421,10,11,26,枣庄,4
20120421,9,8,19,青岛,5
20120421,8,8,18,威海,5
20120421,10,10,24,日照,6
20120421,10,10,24,德州,4
20120421,10,9,26,滨州,4
20120422,10,26,15,潍坊,4
20120422,10,26,16,东营,5
20120422,10,26,14,济宁,4
20120422,10,24,14,日照,5
20120422,9,18,9,烟台,6
20120422,10,25,12,泰安,5
20120422,11,27,18,济南,5
20120422,10,27,15,淄博,4
20120422,9,17,9,威海,6
20120422,10,26,15,枣庄,4
20120422,10,25,15,德州,4
20120422,10,26,12,滨州,0
20120422,10,19,11,青岛,4
20120423,5,14,26,滨州,6
20120423,6,16,24,济宁,4
20120423,8,14,22,威海,6
20120423,6,11,14,青岛,6
20120423,7,12,24,烟台,5
20120423,7,12,16,日照,5
20120423,5,13,25,德州,4
20120423,4,14,25,淄博,4
20120423,6,14,23,潍坊,5
20120423,6,17,25,泰安,5
20120423,6,14,27,济南,4
20120423,6,15,26,东营,5
20120423,5,17,25,枣庄,4
20120424,7,12,20,日照,5
20120424,7,12,19,东营,5
20120424,8,10,21,德州,4
20120424,7,12,19,淄博,4
20120424,7,12,19,潍坊,6
20120424,6,9,14,烟台,7
20120424,8,14,22,枣庄,0
20120424,8,13,20,济南,4
20120424,4,9,14,威海,6
20120424,7,11,20,滨州,5
20120424,7,12,16,青岛,6
20120424,8,13,22,济宁,4
20120424,7,13,20,泰安,5
20120425,11,10,25,东营,5
20120425,10,9,24,泰安,5
20120425,11,10,25,德州,4
20120425,11,10,25,淄博,4
20120425,10,9,18,青岛,5
20120425,11,11,25,枣庄,5
20120425,10,10,24,济宁,4
20120425,10,7,24,滨州,5
20120425,11,12,25,济南,4
20120425,10,6,19,烟台,6
20120425,10,7,25,潍坊,5
20120425,10,7,19,威海,6
20120425,10,10,21,日照,5
20120426,11,19,27,济南,5
20120426,10,14,28,泰安,5
20120426,10,12,25,烟台,7
20120426,11,15,28,潍坊,4
20120426,11,12,23,威海,6
20120426,11,15,27,滨州,4
20120426,11,15,27,东营,4
20120426,11,12,22,青岛,5
20120426,11,16,27,淄博,4
20120426,10,13,26,日照,6
20120426,11,15,28,济宁,0
20120426,10,14,28,枣庄,4
20120426,11,16,28,德州,4
20120427,10,13,23,东营,4
20120427,11,14,25,济南,4
20120427,10,16,25,枣庄,4
20120427,10,16,27,济宁,3
20120427,10,13,25,泰安,4
20120427,10,11,23,滨州,4
20120427,10,11,18,烟台,4
20120427,10,11,19,威海,5
20120427,10,14,25,德州,4
20120427,11,13,23,潍坊,4
20120427,11,11,17,青岛,4
20120427,10,13,25,淄博,4
20120427,10,12,21,日照,5
20120428,10,14,26,滨州,4
20120428,10,16,28,济宁,3
20120428,10,12,16,青岛,4
20120428,10,10,16,威海,4
20120428,10,14,23,枣庄,0
20120428,10,17,29,泰安,4
20120428,10,14,25,淄博,4
20120428,9,12,16,日照,4
20120428,10,13,24,东营,4
20120428,11,15,26,济南,3
20120428,10,13,24,潍坊,3
20120428,10,14,24,德州,4
20120428,10,10,18,烟台,4
20120429,10,10,24,德州,4
20120429,9,15,25,东营,4
20120429,10,15,25,济宁,3
20120429,10,13,28,滨州,0
20120429,9,11,17,威海,4
20120429,9,12,16,日照,4
20120429,10,13,25,淄博,3
20120429,11,12,17,青岛,4
20120429,9,12,20,烟台,4
20120429,10,14,24,潍坊,4
20120429,10,15,27,济南,3
20120429,9,15,26,泰安,4
20120429,10,15,24,枣庄,0
20120430,9,15,23,枣庄,0
20120430,10,13,23,淄博,3
20120430,9,12,18,青岛,4
20120430,10,12,20,日照,5
20120430,10,13,23,潍坊,4
20120430,10,12,18,威海,4
20120430,10,14,23,滨州,0
20120430,10,14,23,济南,4
20120430,9,15,25,泰安,4
20120430,10,13,22,德州,4
20120430,10,13,19,烟台,4
20120430,10,14,23,东营,5
20120430,10,16,25,济宁,3
20120501,11,14,28,潍坊,4
20120501,10,15,29,德州,0
20120501,10,15,29,泰安,4
20120501,11,15,29,淄博,3
20120501,10,15,30,济南,0
20120501,11,16,29,济宁,0
20120501,10,13,27,东营,4
20120501,10,14,29,枣庄,3
20120501,10,13,23,日照,4
20120501,10,13,28,滨州,0
20120501,10,12,19,威海,4
20120501,11,15,24,青岛,4
20120501,10,12,20,烟台,4
20120502,11,17,29,东营,4
20120502,11,17,31,淄博,3
20120502,11,18,30,枣庄,0
20120502,11,16,26,日照,4
20120502,11,16,30,泰安,4
20120502,11,14,26,烟台,4
20120502,11,16,30,潍坊,0
20120502,11,19,31,济南,3
20120502,11,14,23,威海,4
20120502,11,18,30,济宁,0
20120502,10,16,30,德州,0
20120502,11,17,26,青岛,4
20120502,11,15,29,滨州,0
20120503,10,17,25,烟台,5
20120503,10,16,31,泰安,3
20120503,11,18,31,淄博,3
20120503,11,18,30,济宁,3
20120503,11,17,25,威海,4
20120503,11,17,28,青岛,4
20120503,11,17,32,潍坊,0
20120503,11,18,32,东营,4
20120503,11,19,31,枣庄,0
20120503,11,19,32,德州,0
20120503,11,20,31,济南,3
20120503,11,17,29,日照,4
20120503,10,17,31,滨州,0
20120504,11,18,29,青岛,4
20120504,10,18,31,枣庄,0
20120504,11,19,31,济宁,0
20120504,10,15,22,烟台,5
20120504,10,17,27,东营,0
20120504,9,14,24,威海,4
20120504,11,18,30,德州,4
20120504,11,17,30,淄博,3
20120504,10,17,31,泰安,4
20120504,10,17,27,滨州,0
20120504,11,18,30,日照,4
20120504,11,19,30,济南,3
20120504,11,17,26,潍坊,4
20120505,10,17,31,日照,5
20120505,11,16,33,德州,4
20120505,11,15,26,青岛,4
20120505,11,21,34,济南,4
20120505,11,15,32,东营,4
20120505,10,15,32,滨州,0
20120505,11,15,34,淄博,3
20120505,10,15,26,威海,4
20120505,11,16,32,泰安,4
20120505,10,19,32,济宁,0
20120505,10,13,23,烟台,4
20120505,10,14,31,潍坊,4
20120505,11,18,33,枣庄,4
20120506,11,17,30,威海,4
20120506,10,15,28,烟台,5
20120506,10,18,33,滨州,0
20120506,10,18,33,东营,4
20120506,10,19,31,枣庄,3
20120506,10,16,21,青岛,4
20120506,10,18,28,日照,5
20120506,10,20,31,德州,0
20120506,10,17,33,潍坊,3
20120506,11,21,33,淄博,3
20120506,10,18,31,泰安,4
20120506,10,19,31,济宁,4
20120506,10,23,32,济南,4
20120507,9,18,28,潍坊,4
20120507,10,18,27,东营,4
20120507,5,13,22,烟台,4
20120507,9,17,27,滨州,0
20120507,9,19,29,济南,4
20120507,9,18,30,泰安,4
20120507,10,22,29,济宁,0
20120507,9,17,23,青岛,4
20120507,10,21,30,枣庄,0
20120507,10,19,29,德州,0
20120507,10,15,24,威海,6
20120507,9,17,25,日照,4
20120507,9,18,28,淄博,3
20120508,10,13,25,威海,4
20120508,11,17,30,济宁,3
20120508,11,14,21,青岛,4
20120508,10,16,28,潍坊,4
20120508,10,16,28,德州,4
20120508,11,17,30,济南,3
20120508,10,14,30,泰安,4
20120508,10,15,24,日照,4
20120508,11,19,30,枣庄,0
20120508,10,14,30,滨州,0
20120508,10,16,29,东营,4
20120508,11,15,29,淄博,3
20120508,11,13,22,烟台,4
20120509,11,15,30,潍坊,4
20120509,11,17,30,东营,4
20120509,10,17,31,德州,4
20120509,11,21,32,济南,4
20120509,10,17,30,枣庄,0
20120509,11,16,32,淄博,4
20120509,11,15,28,威海,4
20120509,10,14,21,日照,4
20120509,10,15,27,烟台,4
20120509,10,16,32,滨州,4
20120509,11,15,31,泰安,3
20120509,10,14,20,青岛,4
20120509,11,19,30,济宁,0
20120510,11,18,31,枣庄,0
20120510,10,23,30,济南,4
20120510,9,20,29,德州,0
20120510,11,12,18,青岛,5
20120510,10,16,30,泰安,4
20120510,10,18,30,东营,4
20120510,10,16,24,烟台,5
20120510,10,16,26,威海,4
20120510,10,19,31,淄博,3
20120510,10,19,29,济宁,0
20120510,10,14,23,日照,4
20120510,10,18,30,滨州,0
20120510,11,17,31,潍坊,4
20120511,5,18,26,泰安,4
20120511,10,15,24,威海,4
20120511,5,20,25,德州,4
20120511,5,18,25,济南,4
20120511,10,12,17,日照,4
20120511,5,19,26,济宁,4
20120511,5,18,25,滨州,0
20120511,5,18,28,淄博,3
20120511,9,15,25,烟台,5
20120511,9,10,15,青岛,5
20120511,10,19,26,东营,4
20120511,9,16,27,潍坊,4
20120511,5,18,27,枣庄,3
20120512,9,15,27,泰安,4
20120512,10,13,19,青岛,4
20120512,9,14,20,日照,4
20120512,9,15,28,德州,4
20120512,9,13,22,威海,5
20120512,10,14,27,淄博,3
20120512,10,14,26,枣庄,0
20120512,9,12,22,烟台,5
20120512,9,14,27,滨州,0
20120512,9,15,26,潍坊,4
20120512,10,15,28,济南,3
20120512,10,15,27,东营,0
20120512,9,16,27,济宁,3
20120513,10,16,25,济宁,3
20120513,10,13,18,烟台,4
20120513,10,14,24,滨州,4
20120513,9,13,20,青岛,4
20120513,10,15,25,淄博,3
20120513,10,15,23,潍坊,4
20120513,10,18,25,济南,3
20120513,10,15,25,东营,4
20120513,5,13,19,威海,5
20120513,9,14,25,德州,4
20120513,9,16,25,枣庄,0
20120513,9,14,23,日照,4
20120513,10,14,25,泰安,4
20120514,11,13,26,淄博,3
20120514,10,14,25,东营,4
20120514,11,13,25,滨州,0
20120514,10,14,27,日照,4
20120514,10,14,25,青岛,4
20120514,10,14,26,枣庄,0
20120514,9,14,22,威海,4
20120514,10,14,27,泰安,4
20120514,11,14,27,德州,0
20120514,11,16,26,济南,0
20120514,11,14,25,潍坊,4
20120514,10,13,22,烟台,4
20120514,10,17,27,济宁,0
20120515,10,14,26,淄博,3
20120515,10,17,28,日照,5
20120515,11,15,26,滨州,0
20120515,11,16,27,德州,4
20120515,11,18,26,济南,4
20120515,10,16,29,枣庄,4
20120515,11,16,26,东营,4
20120515,5,14,23,烟台,6
20120515,10,15,25,潍坊,4
20120515,10,17,28,济宁,0
20120515,10,13,22,威海,4
