climate,date,max_temp,min_temp,site,wind
,,,,济南,
多云,,27℃,19℃,济南,东南风 2级
多云,,27℃,19℃,济南,东南风 2级
多云转晴,2012年4月1日,8℃,24℃,济南,南风小于3级转3-4级
多云转晴,2012年4月2日,8℃,24℃,济南,南风小于3级转3-4级
多云转晴,2012年4月3日,7℃,25℃,济南,南风小于3级转3-4级
多云转晴,2012年4月4日,7℃,25℃,济南,南风小于3级转3-4级
多云转晴,2012年4月5日,8℃,24℃,济南,南风小于3级转3-4级
多云转晴,2012年4月6日,8℃,24℃,济南,南风小于3级转3-4级
多云转晴,2012年4月7日,8℃,24℃,济南,南风小于3级转3-4级
多云转晴,2012年4月8日,9℃,23℃,济南,南风小于3级转3-4级
多云转晴,2012年4月9日,10℃,22℃,济南,南风小于3级转3-4级
多云转晴,2012年4月10日,8℃,24℃,济南,南风小于3级转3-4级
多云转晴,2012年4月11日,10℃,22℃,济南,南风小于3级转3-4级
多云转晴,2012年4月12日,8℃,24℃,济南,南风小于3级转3-4级
多云,2012年4月14日,18℃,26℃,济南,南风转北风3-4级
晴,2012年4月13日,24℃,14℃,济南,南风3-4级
多云转晴,2012年4月15日,10℃,21℃,济南,东北风3-4级转小于3级
晴,2012年4月16日,12℃,25℃,济南,南风小于3级转4-5级
晴转多云,2012年4月17日,17℃,26℃,济南,南风4-5级转3-4级
多云,2012年4月18日,17℃,25℃,济南,南风3-4级
多云转小雨,2012年4月19日,15℃,22℃,济南,南风3-4级转微风
阴,2012年4月20日,12℃,19℃,济南,东北风3-4级
多云转晴,2012年4月21日,11℃,27℃,济南,微风转南风小于3级
晴,2012年4月22日,27℃,18℃,济南,南风3-4级转4-5级
多云转大雨,2012年4月23日,14℃,27℃,济南,南风转北风3-4级
小雨转晴,2012年4月24日,13℃,20℃,济南,北风3-4级
晴,2012年4月25日,12℃,25℃,济南,微风转北风3-4级
晴,2012年4月26日,19℃,27℃,济南,南风4-5级转北风3-4级
晴,2012年4月27日,14℃,25℃,济南,东北风3-4级转东南风小于3级
晴,2012年4月28日,15℃,26℃,济南,东北风转东风小于3级
多云,2012年4月29日,15℃,27℃,济南,东南风小于3级
多云,2012年4月30日,14℃,23℃,济南,微风转北风3-4级
多云,,27℃,19℃,济南,东南风 2级
多云转晴,2012年5月1日,15℃,30℃,济南,微风
晴,2012年5月2日,19℃,31℃,济南,南风小于3级
晴,2012年5月3日,20℃,31℃,济南,南风小于3级
晴,2012年5月4日,19℃,30℃,济南,南风转东北风小于3级
晴,2012年5月5日,21℃,34℃,济南,微风转西南风3-4级
晴转多云,2012年5月6日,23℃,32℃,济南,南风3-4级
阴转晴,2012年5月7日,19℃,29℃,济南,南风转东北风3-4级
晴,2012年5月8日,17℃,30℃,济南,东北风转东南风小于3级
晴,2012年5月9日,21℃,32℃,济南,南风3-4级
晴转多云,2012年5月10日,23℃,30℃,济南,南风3-4级
阴转雷阵雨,2012年5月11日,18℃,25℃,济南,南风转北风3-4级
多云,2012年5月12日,15℃,28℃,济南,微风转南风小于3级
多云,2012年5月13日,18℃,25℃,济南,南风小于3级转微风
晴,2012年5月14日,16℃,26℃,济南,微风
晴,2012年5月15日,18℃,26℃,济南,南风转北风3-4级
晴,2012年5月16日,16℃,29℃,济南,微风
晴转多云,2012年5月17日,21℃,33℃,济南,南风小于3级转3-4级
多云转晴,2012年5月18日,24℃,32℃,济南,南风3-4级
晴,2012年5月19日,21℃,32℃,济南,南风小于3级
晴,2012年5月20日,20℃,30℃,济南,南风小于3级
多云,2012年5月21日,20℃,27℃,济南,南风3-4级
阴,2012年5月22日,19℃,25℃,济南,南风小于3级转微风
多云转阴,2012年5月23日,19℃,28℃,济南,南风小于3级
多云,2012年5月24日,19℃,30℃,济南,南风小于3级
多云转晴,2012年5月25日,20℃,32℃,济南,南风3-4级
晴,2012年5月26日,23℃,33℃,济南,南风转西南风3-4级
晴,2012年5月27日,25℃,34℃,济南,西南风3-4级转小于3级
晴转阴,2012年5月28日,24℃,30℃,济南,南风3-4级
阵雨,2012年5月29日,18℃,26℃,济南,南风小于3级转微风
晴转多云,2012年5月30日,17℃,28℃,济南,东风小于3级
晴转多云,2012年5月31日,21℃,28℃,济南,南风3-4级
雷阵雨,2012年6月1日,20℃,27℃,济南,南风小于3级
多云,2012年6月2日,22℃,31℃,济南,西南风小于3级转3-4级
多云,2012年6月3日,23℃,33℃,济南,南风3-4级转小于3级
晴,2012年6月4日,23℃,34℃,济南,南风小于3级
多云转阴,2012年6月5日,25℃,30℃,济南,南风小于3级转3-4级
阵雨转多云,2012年6月6日,22℃,32℃,济南,南风小于3级
雷阵雨转多云,2012年6月7日,22℃,32℃,济南,南风小于3级
多云,2012年6月8日,23℃,35℃,济南,南风小于3级
多云转雷阵雨,2012年6月9日,24℃,31℃,济南,南风小于3级转北风3-4级
多云,2012年6月10日,17℃,30℃,济南,南风小于3级转微风
晴转多云,2012年6月11日,22℃,32℃,济南,南风转西北风小于3级
晴转多云,2012年6月12日,24℃,37℃,济南,南风转北风3-4级
中雨,2012年6月13日,19℃,31℃,济南,南风转北风3-4级
多云转晴,2012年6月14日,19℃,31℃,济南,微风
晴,2012年6月15日,21℃,34℃,济南,微风
晴,2012年6月16日,24℃,37℃,济南,南风小于3级转3-4级
晴,2012年6月17日,36℃,25℃,济南,南风3-4级转小于3级
晴,2012年6月18日,25℃,36℃,济南,南风小于3级
晴,2012年6月19日,25℃,36℃,济南,南风小于3级
多云,2012年6月20日,26℃,35℃,济南,南风3-4级
多云,2012年6月21日,27℃,35℃,济南,南风3-4级
晴,2012年6月22日,26℃,35℃,济南,南风3-4级
多云,2012年6月23日,23℃,34℃,济南,东南风小于3级
多云,2012年6月24日,24℃,32℃,济南,东南风转东风小于3级
阵雨,2012年6月25日,23℃,30℃,济南,东南风小于3级转3-4级
多云,2012年6月26日,22℃,30℃,济南,东南风3-4级
多云转雷阵雨,2012年6月27日,21℃,28℃,济南,东南风转南风小于3级
大雨,2012年6月28日,21℃,25℃,济南,南风小于3级转微风
小雨转多云,2012年6月29日,19℃,31℃,济南,微风
晴,2012年6月30日,22℃,35℃,济南,南风小于3级转3-4级
多云,,27℃,19℃,济南,东南风 2级
晴转多云,2012年7月1日,26℃,35℃,济南,南风3-4级
多云转晴,2012年7月2日,25℃,36℃,济南,南风小于3级
多云转雷阵雨,2012年7月3日,24℃,33℃,济南,南风小于3级
大雨转阴,2012年7月4日,22℃,29℃,济南,南风转东北风小于3级
多云转晴,2012年7月5日,22℃,33℃,济南,北风转南风小于3级
晴转多云,2012年7月6日,25℃,34℃,济南,南风小于3级
大雨,2012年7月7日,22℃,27℃,济南,南风小于3级
