date,climate,max_temp,min_temp,site,wind,week
2019-01-01,阴,0℃,-5℃,烟台,西南风 2级,星期二
2019-01-01,多云,0℃,-4℃,青岛,东北风 3级,星期二
2019-01-01,多云,1℃,-9℃,淄博,西北风 1级,星期二
2019-01-01,中雪,-1℃,-3℃,威海,西北风 4级,星期二
2019-01-01,晴,2℃,-10℃,泰安,西北风 1级,星期二
2019-01-01,晴,1℃,-6℃,德州,东北风 1级,星期二
2019-01-01,晴,1℃,-5℃,日照,东北风 3级,星期二
2019-01-01,多云,3℃,-5℃,菏泽,南风 微风,星期二
2019-01-01,多云,2℃,-5℃,临沂,西南风 1级,星期二
2019-01-01,多云,1℃,-7℃,潍坊,西南风 1级,星期二
2019-01-01,多云,2℃,-8℃,聊城,北风 微风,星期二
2019-01-01,晴,0℃,-7℃,东营,西北风 1级,星期二
2019-01-01,晴,1℃,-6℃,济南,东南风 2级,星期二
2019-01-01,晴,0℃,-8℃,滨州,西北风 1级,星期二
2019-01-01,阴,3℃,-7℃,枣庄,西北风 1级,星期二
2019-01-01,晴,2℃,-7℃,济宁,北风 微风,星期二
2019-01-01,晴,0℃,-11℃,北京,西北风 1级,星期二
2019-01-02,多云,3℃,-7℃,淄博,东南风 微风,星期三
2019-01-02,多云,3℃,-9℃,泰安,西南风 微风,星期三
2019-01-02,晴,3℃,-4℃,日照,西南风 1级,星期三
2019-01-02,多云,4℃,-4℃,菏泽,东南风 2级,星期三
2019-01-02,晴,1℃,-2℃,青岛,东北风 1级,星期三
2019-01-02,多云,3℃,-5℃,济宁,南风 微风,星期三
2019-01-02,多云,2℃,-5℃,德州,东南风 2级,星期三
2019-01-02,多云,2℃,-4℃,威海,西南风 2级,星期三
2019-01-02,晴,4℃,-4℃,济南,东南风 2级,星期三
2019-01-02,多云,3℃,-4℃,临沂,东南风 2级,星期三
2019-01-02,多云,2℃,-7℃,滨州,东南风 1级,星期三
2019-01-02,阴,4℃,-6℃,枣庄,东南风 1级,星期三
2019-01-02,晴,2℃,-7℃,东营,西南风 1级,星期三
2019-01-02,多云,2℃,-6℃,烟台,西南风 2级,星期三
2019-01-02,多云,2℃,-8℃,潍坊,东南风 1级,星期三
