date,climate,max_temp,min_temp,site,wind
2012-01-15,10,27,18,淄博,1
2012-01-15,10,27,16,潍坊,1
2012-01-15,11,23,17,烟台,1
2012-01-15,10,27,17,东营,1
2012-01-15,9,28,21,济宁,1
2012-01-15,9,28,18,泰安,1
2012-01-15,9,22,15,威海,1
2012-01-15,10,27,15,滨州,1
2012-01-15,9,28,17,德州,0
2012-01-15,9,22,18,日照,1
2012-01-15,9,30,21,枣庄,1
2012-01-15,9,25,16,青岛,3
2012-02-14,9,30,21,枣庄,1
2012-02-18,9,22,15,威海,1
2012-04-01,10,9,24,德州,4
2012-04-01,10,8,24,东营,4
2012-04-01,8,6,18,威海,5
2012-04-01,9,9,21,潍坊,4
2012-04-01,9,8,23,淄博,4
2012-04-01,8,10,15,青岛,4
2012-04-01,10,8,24,济南,4
2012-04-01,10,8,24,滨州,4
2012-04-01,10,8,18,日照,4
2012-04-01,8,9,21,枣庄,4
2012-04-01,9,7,24,泰安,4
2012-04-01,9,9,17,烟台,4
2012-04-01,10,8,23,济宁,3
2012-04-02,10,10,16,日照,4
2012-04-02,9,9,22,淄博,4
2012-04-02,9,10,16,烟台,4
2012-04-02,8,6,18,威海,5
2012-04-02,10,7,25,滨州,4
2012-04-02,9,10,20,潍坊,4
2012-04-02,10,8,24,东营,4
2012-04-02,9,10,21,泰安,4
2012-04-02,10,8,24,济南,4
2012-04-02,8,9,16,青岛,4
2012-04-02,10,10,23,德州,4
2012-04-02,8,8,22,枣庄,4
2012-04-02,10,10,21,济宁,3
2012-04-03,8,10,20,枣庄,4
2012-04-03,9,7,24,泰安,4
2012-04-03,10,11,15,日照,4
2012-04-03,10,10,22,东营,4
2012-04-03,10,9,23,滨州,4
2012-04-03,9,7,23,潍坊,4
2012-04-03,10,10,23,德州,4
2012-04-03,8,8,17,青岛,4
2012-04-03,9,8,23,淄博,4
2012-04-03,10,7,25,济南,4
2012-04-03,8,6,18,威海,5
2012-04-03,10,10,21,济宁,3
2012-04-03,9,7,19,烟台,4
2012-04-04,10,11,20,济宁,3
2012-04-04,9,8,22,潍坊,4
2012-04-04,9,9,22,淄博,4
2012-04-04,8,6,18,威海,5
2012-04-04,8,11,19,枣庄,4
2012-04-04,10,10,22,东营,4
2012-04-04,10,9,17,日照,4
2012-04-04,9,9,22,泰安,4
2012-04-04,10,7,25,济南,4
2012-04-04,10,8,25,德州,4
2012-04-04,8,9,16,青岛,4
2012-04-04,9,8,18,烟台,4
2012-04-04,10,10,22,滨州,4
2012-04-05,10,8,24,济南,4
2012-04-05,9,7,24,泰安,4
2012-04-05,8,8,22,枣庄,4
2012-04-05,10,8,23,济宁,3
2012-04-05,10,9,24,德州,4
2012-04-05,8,9,16,青岛,4
2012-04-05,10,10,22,东营,4
2012-04-05,8,8,16,威海,5
2012-04-05,9,10,21,淄博,4
2012-04-05,10,9,23,滨州,4
2012-04-05,9,10,16,烟台,4
2012-04-05,9,10,20,潍坊,4
2012-04-05,10,9,17,日照,4
2012-04-06,9,7,24,泰安,4
2012-04-06,8,8,17,青岛,4
2012-04-06,9,7,19,烟台,4
2012-04-06,10,11,22,德州,4
2012-04-06,10,8,23,济宁,3
2012-04-06,8,8,16,威海,5
2012-04-06,10,8,24,济南,4
2012-04-06,9,10,20,潍坊,4
2012-04-06,10,8,24,东营,4
2012-04-06,9,8,23,淄博,4
2012-04-06,10,10,16,日照,4
2012-04-06,10,7,25,滨州,4
2012-04-06,8,10,20,枣庄,4
2012-04-07,8,10,20,枣庄,4
2012-04-07,8,8,17,青岛,4
2012-04-07,9,9,17,烟台,4
2012-04-07,10,8,24,滨州,4
2012-04-07,10,9,24,德州,4
2012-04-07,9,10,21,泰安,4
2012-04-07,10,11,15,日照,4
2012-04-07,8,8,16,威海,5
2012-04-07,10,9,22,济宁,3
2012-04-07,10,11,21,东营,4
2012-04-07,9,10,20,潍坊,4
2012-04-07,9,8,23,淄博,4
2012-04-07,10,8,24,济南,4
2012-04-08,9,9,21,潍坊,4
2012-04-08,10,8,25,德州,4
2012-04-08,10,8,23,济宁,3
2012-04-08,9,10,16,烟台,4
2012-04-08,8,11,19,枣庄,4
2012-04-08,8,10,15,青岛,4
2012-04-08,10,9,23,东营,4
2012-04-08,10,10,16,日照,4
2012-04-08,10,8,24,滨州,4
2012-04-08,10,9,23,济南,4
2012-04-08,9,8,23,淄博,4
