climate,date,max_temp,min_temp,site,wind
晴,2019年1月1日,1℃,-6℃,德州,东北风 1级
多云,2019年1月2日,2℃,-5℃,德州,东南风 2级
多云,2019年1月3日,5℃,-5℃,德州,东北风 1级
多云,2019年1月4日,3℃,-5℃,德州,东北风 2级
阴,2019年1月5日,2℃,-7℃,德州,东北风 1级
多云,2019年1月6日,3℃,-4℃,德州,东南风 1级
阴,2019年1月7日,4℃,-7℃,德州,东南风 1级
晴,2019年1月8日,1℃,-5℃,德州,东北风 2级
阴,2019年1月9日,1℃,-3℃,德州,西北风 微风
多云,2019年1月10日,2℃,-3℃,德州,西南风 3级
多云,2019年1月11日,4℃,-2℃,德州,西南风 1级
雾,2019年1月13日,3℃,-4℃,德州,东北风 1级
雾,2019年1月12日,4℃,-3℃,德州,东南风 1级
雾,2019年1月14日,2℃,-6℃,德州,西南风 1级
晴,2019年1月15日,-1℃,-7℃,德州,东南风 1级
多云,2019年1月16日,3℃,-6℃,德州,东南风 2级
晴,2019年1月17日,7℃,-3℃,德州,东南风 2级
阴,2019年1月19日,5℃,-5℃,德州,东南风 2级
阴,2019年1月18日,8℃,-3℃,德州,东南风 1级
晴,2019年1月20日,5℃,-3℃,德州,西北风 1级
晴,2019年1月21日,7℃,-5℃,德州,西北风 1级
晴,2019年1月22日,12℃,-5℃,德州,西南风 2级
多云,2019年1月23日,13℃,-4℃,德州,东南风 1级
晴,2019年1月24日,11℃,-3℃,德州,东南风 3级
多云,2019年1月25日,6℃,-7℃,德州,东北风 2级
晴,2019年1月26日,6℃,-2℃,德州,东南风 2级
多云,2019年1月27日,6℃,-3℃,德州,西北风 1级
多云,2019年1月28日,7℃,0℃,德州,东北风 1级
阴,2019年1月29日,8℃,0℃,德州,东北风 2级
阴,2019年1月30日,4℃,-4℃,德州,东南风 3级
多云,2019年1月31日,1℃,-5℃,德州,西南风 4级
晴,2019年2月1日,8℃,0℃,德州,东南风 3级
多云,2019年2月2日,6℃,-1℃,德州,东北风 2级
阴,2019年2月3日,8℃,-4℃,德州,西南风 2级
多云,2019年2月4日,12℃,2℃,德州,西南风 2级
扬沙,2019年2月5日,5℃,-2℃,德州,西南风 1级
阴,2019年2月6日,0℃,-4℃,德州,东北风 3级
多云,2019年2月7日,-1℃,-6℃,德州,东北风 2级
阴,2019年2月8日,-1℃,-5℃,德州,西南风 1级
阴,2019年2月9日,0℃,-5℃,德州,东北风 2级
阴,2019年2月10日,0℃,-5℃,德州,西南风 1级
多云,2019年2月11日,4℃,-4℃,德州,东南风 2级
阴,2019年2月12日,2℃,-2℃,德州,东北风 2级
阴,2019年2月13日,-1℃,-3℃,德州,东南风 2级
阴,2019年2月14日,-2℃,-5℃,德州,西南风 2级
多云,2019年2月15日,1℃,-7℃,德州,西北风 微风
晴,2019年2月16日,3℃,-6℃,德州,西南风 1级
多云,2019年2月17日,5℃,-3℃,德州,西北风 1级
阴,2019年2月18日,4℃,-3℃,德州,东南风 2级
雾,2019年2月19日,0℃,-3℃,德州,东南风 2级
雾,2019年2月20日,6℃,-2℃,德州,西南风 1级
雾,2019年2月21日,8℃,-4℃,德州,东北风 1级
多云,2019年2月22日,10℃,-3℃,德州,北风 微风
晴,2019年2月23日,12℃,-1℃,德州,东南风 1级
多云,2019年2月24日,14℃,1℃,德州,东南风 1级
多云,2019年2月25日,13℃,2℃,德州,西南风 3级
阴,2019年2月26日,9℃,2℃,德州,东南风 1级
阴,2019年2月27日,11℃,1℃,德州,东南风 1级
多云,2019年2月28日,14℃,3℃,德州,东南风 1级
阴,,31℃,14℃,德州,北风 3级
阴,,31℃,14℃,德州,北风 3级
多云,2019年3月1日,14℃,3℃,德州,西南风 微风
阴,,31℃,14℃,德州,北风 3级
多云,2019年3月2日,15℃,5℃,德州,西南风 2级
阴,2019年3月3日,13℃,2℃,德州,东南风 2级
晴,2019年3月4日,16℃,2℃,德州,东南风 3级
多云,2019年3月5日,17℃,4℃,德州,东北风 微风
晴,2019年3月6日,13℃,-1℃,德州,东北风 3级
晴,2019年3月7日,12℃,2℃,德州,东南风 2级
多云,2019年3月8日,14℃,6℃,德州,西南风 3级
多云,2019年3月9日,15℃,3℃,德州,东南风 1级
多云,2019年3月10日,16℃,4℃,德州,西南风 3级
晴,2019年3月11日,17℃,4℃,德州,西南风 1级
晴,2019年3月12日,12℃,0℃,德州,西南风 2级
晴,2019年3月13日,16℃,3℃,德州,东南风 2级
晴,2019年3月14日,18℃,4℃,德州,西南风 1级
晴,2019年3月15日,15℃,7℃,德州,东南风 3级
晴,2019年3月16日,22℃,6℃,德州,东南风 4级
晴,2019年3月17日,21℃,14℃,德州,西南风 2级
阴,2019年3月18日,21℃,12℃,德州,东南风 1级
多云,2019年3月19日,23℃,13℃,德州,东南风 4级
阴,2019年3月20日,22℃,7℃,德州,西北风 2级
多云,2019年3月21日,12℃,1℃,德州,东南风 2级
晴,2019年3月22日,15℃,5℃,德州,西南风 2级
晴,2019年3月23日,12℃,5℃,德州,西南风 2级
晴,2019年3月24日,19℃,7℃,德州,西南风 4级
晴,2019年3月25日,24℃,8℃,德州,西南风 3级
晴,2019年3月26日,26℃,12℃,德州,东南风 2级
阴,2019年3月27日,22℃,8℃,德州,东南风 6级
阴,2019年3月28日,10℃,3℃,德州,东北风 2级
多云,2019年3月29日,16℃,6℃,德州,西南风 1级
晴,2019年3月30日,12℃,0℃,德州,东北风 1级
晴,2019年3月31日,16℃,4℃,德州,西南风 1级
阴,2019年4月1日,17℃,6℃,德州,东南风 3级
多云,2019年4月2日,18℃,4℃,德州,东北风 2级
晴,2019年4月3日,20℃,11℃,德州,西南风 3级
阴,2019年4月4日,24℃,12℃,德州,东南风 3级
扬沙,2019年4月5日,24℃,11℃,德州,东南风 2级
多云,2019年4月6日,17℃,8℃,德州,东南风 2级
晴,2019年4月7日,21℃,10℃,德州,东北风 1级
阴,2019年4月8日,14℃,2℃,德州,东北风 2级
阴,2019年4月9日,7℃,2℃,德州,西南风 1级
阴,2019年4月10日,14℃,7℃,德州,东南风 2级
阴,2019年4月11日,15℃,5℃,德州,北风 微风
多云,2019年4月12日,18℃,12℃,德州,东南风 3级
阴,2019年4月13日,19℃,10℃,德州,西北风 1级
晴,2019年4月14日,21℃,10℃,德州,东南风 2级
晴,2019年4月15日,23℃,12℃,德州,西南风 3级
阴,2019年4月16日,25℃,15℃,德州,东南风 3级
晴,2019年4月17日,26℃,16℃,德州,东南风 4级
阴,2019年4月19日,17℃,10℃,德州,北风 微风
扬沙,2019年4月18日,20℃,11℃,德州,东南风 4级
阴,2019年4月20日,20℃,12℃,德州,西北风 2级
阴,2019年4月21日,20℃,12℃,德州,东南风 1级
阴,2019年4月23日,23℃,15℃,德州,西南风 微风
多云,2019年4月22日,24℃,16℃,德州,东南风 2级
阴,2019年4月24日,24℃,7℃,德州,东南风 6级
阴,2019年4月25日,11℃,7℃,德州,南风 微风
阴,2019年4月26日,18℃,8℃,德州,东北风 1级
阴,2019年4月27日,13℃,6℃,德州,东南风 1级
多云,2019年4月28日,17℃,9℃,德州,东南风 2级
晴,2019年4月29日,22℃,13℃,德州,东南风 1级
多云,2019年4月30日,25℃,11℃,德州,西北风 1级
阴,,31℃,14℃,德州,北风 3级
晴,2019年5月1日,28℃,12℃,德州,东北风 1级
晴,2019年5月2日,28℃,15℃,德州,东南风 1级
晴,2019年5月3日,27℃,17℃,德州,东南风 2级
阴,2019年5月4日,24℃,12℃,德州,东南风 3级
阴,2019年5月5日,22℃,7℃,德州,东南风 3级
多云,2019年5月6日,23℃,11℃,德州,西南风 微风
