数据结构,操作系统,高等数学,软件工程,数据库原理,计算机网络,C语言程序设计,计算机导论
80,70.0,100,82,72,84,63.0,87.0
62,77.0,87,53,76,73,67.0,76.0
60,62.0,71,46,64,63,69.0,62.0
75,74.0,79,71,73,78,84.0,71.0
79,63.0,94,65,54,72,74.0,78.0
74,67.0,69,67,67,73,70.0,69.0
67,67.0,80,72,67,68,79.0,75.0
75,60.0,76,79,68,83,75.0,75.0
67,62.0,73,69,63,56,62.0,69.0
67,75.0,77,68,65,63,75.0,77.0
70,60.0,90,77,65,71,73.0,76.0
68,74.0,87,74,69,75,76.0,85.0
71,69.0,76,68,60,62,64.0,62.0
75,72.0,67,76,67,74,72.0,82.0
69,78.0,82,83,78,75,47.0,69.0
89,92.0,92,76,70,93,90.0,78.0
75,82.0,93,90,74,82,84.0,80.0
82,77.0,87,74,70,84,64.0,85.0
73,60.0,80,57,58,82,83.0,82.0
74,68.0,80,86,75,85,65.0,79.0
88,68.0,73,75,69,61,74.0,68.0
78,73.0,82,80,69,73,73.0,85.0
70,69.0,78,77,74,69,75.0,90.0
79,78.0,82,77,71,78,74.0,75.0
75,70.0,63,74,67,73,75.0,84.0
73,72.0,56,43,63,73,56.0,66.0
78,75.0,79,72,70,75,74.0,74.0
78,71.0,71,77,68,62,82.0,67.0
62,74.0,74,64,67,65,68.0,71.0
75,83.0,84,76,70,85,72.0,82.0
69,76.0,86,43,66,69,76.0,75.0
73,70.0,77,70,72,73,73.0,75.0
66,74.0,75,81,68,81,60.0,75.0
78,80.0,78,79,70,81,73.0,80.0
63,85.0,83,85,64,80,74.0,85.0
68,76.0,81,72,67,80,72.0,71.0
63,83.0,67,72,69,76,78.0,60.0
68,83.0,70,72,77,73,70.0,70.0
65,63.0,82,60,67,67,62.0,73.0
87,86.0,99,79,89,74,77.0,88.0
80,66.0,79,90,75,76,73.0,71.0
70,61.0,59,70,72,72,60.0,69.0
69,77.0,93,60,72,86,61.0,66.0
73,75.0,89,65,74,72,69.0,77.0
69,79.0,78,68,81,84,75.0,80.0
73,76.0,82,55,77,78,76.0,79.0
60,81.0,46,57,76,80,43.0,56.0
73,71.0,63,71,85,85,63.0,68.0
80,78.0,76,69,85,83,77.0,76.0
81,86.0,81,82,92,76,76.0,85.0
61,80.0,87,65,76,72,74.0,92.0
74,60.0,94,67,60,77,74.0,72.0
85,85.0,79,72,92,87,70.0,76.0
81,78.0,79,66,81,74,84.0,87.0
77,64.0,95,71,85,90,66.0,73.0
84,79.0,71,70,78,74,82.0,78.0
73,74.0,76,65,70,76,74.0,78.0
60,82.0,66,57,77,86,63.0,68.0
49,73.0,61,74,78,76,64.0,64.0
67,90.0,80,90,87,80,69.0,79.0
79,71.0,72,77,75,78,72.0,73.0
74,65.0,55,61,73,74,73.0,75.0
68,63.0,68,68,81,76,67.0,64.0
82,70.0,83,66,79,81,72.0,75.0
72,66.0,62,99,66,68,61.0,88.0
99,44.0,76,87,79,89,99.0,76.0
45,99.0,99,80,60,78,78.0,60.0
60,78.0,78,72,86,77,58.0,78.0
61,60.0,77,66,71,71,50.0,60.0
70,69.0,79,67,67,62,46.0,74.0
83,75.0,76,73,84,67,62.0,81.0
79,62.0,72,67,71,60,66.0,63.0
77,70.0,83,73,84,85,62.0,77.0
69,80.0,82,73,80,97,75.0,90.0
