,数据结构,操作系统,高等数学,软件工程,数据库原理,计算机网络,C语言程序设计,计算机导论,category
0,80,70.0,100,82,72,84,63.0,87.0,0
1,62,77.0,87,53,76,73,67.0,76.0,0
2,60,62.0,71,46,64,63,69.0,62.0,1
3,75,74.0,79,71,73,78,84.0,71.0,0
4,79,63.0,94,65,54,72,74.0,78.0,0
5,74,67.0,69,67,67,73,70.0,69.0,1
6,67,67.0,80,72,67,68,79.0,75.0,0
7,75,60.0,76,79,68,83,75.0,75.0,0
8,67,62.0,73,69,63,56,62.0,69.0,1
9,67,75.0,77,68,65,63,75.0,77.0,1
10,70,60.0,90,77,65,71,73.0,76.0,0
11,68,74.0,87,74,69,75,76.0,85.0,0
12,71,69.0,76,68,60,62,64.0,62.0,1
13,75,72.0,67,76,67,74,72.0,82.0,0
14,69,78.0,82,83,78,75,47.0,69.0,0
15,89,92.0,92,76,70,93,90.0,78.0,0
16,75,82.0,93,90,74,82,84.0,80.0,0
17,82,77.0,87,74,70,84,64.0,85.0,0
18,73,60.0,80,57,58,82,83.0,82.0,0
19,74,68.0,80,86,75,85,65.0,79.0,0
20,88,68.0,73,75,69,61,74.0,68.0,0
21,78,73.0,82,80,69,73,73.0,85.0,0
22,70,69.0,78,77,74,69,75.0,90.0,0
23,79,78.0,82,77,71,78,74.0,75.0,0
24,75,70.0,63,74,67,73,75.0,84.0,0
25,73,72.0,56,43,63,73,56.0,66.0,1
26,78,75.0,79,72,70,75,74.0,74.0,0
27,78,71.0,71,77,68,62,82.0,67.0,0
28,62,74.0,74,64,67,65,68.0,71.0,1
29,75,83.0,84,76,70,85,72.0,82.0,0
30,69,76.0,86,43,66,69,76.0,75.0,1
31,73,70.0,77,70,72,73,73.0,75.0,0
32,66,74.0,75,81,68,81,60.0,75.0,0
33,78,80.0,78,79,70,81,73.0,80.0,0
34,63,85.0,83,85,64,80,74.0,85.0,0
35,68,76.0,81,72,67,80,72.0,71.0,0
36,63,83.0,67,72,69,76,78.0,60.0,1
37,68,83.0,70,72,77,73,70.0,70.0,0
38,65,63.0,82,60,67,67,62.0,73.0,1
39,87,86.0,99,79,89,74,77.0,88.0,0
40,80,66.0,79,90,75,76,73.0,71.0,0
41,70,61.0,59,70,72,72,60.0,69.0,1
42,69,77.0,93,60,72,86,61.0,66.0,0
43,73,75.0,89,65,74,72,69.0,77.0,0
44,69,79.0,78,68,81,84,75.0,80.0,0
45,73,76.0,82,55,77,78,76.0,79.0,0
46,60,81.0,46,57,76,80,43.0,56.0,1
47,73,71.0,63,71,85,85,63.0,68.0,0
48,80,78.0,76,69,85,83,77.0,76.0,0
49,81,86.0,81,82,92,76,76.0,85.0,0
50,61,80.0,87,65,76,72,74.0,92.0,0
51,74,60.0,94,67,60,77,74.0,72.0,0
52,85,85.0,79,72,92,87,70.0,76.0,0
